
2024/06/13 (07:04:41) | ===> btop++ v.1.3.2
2024/06/13 (07:04:41) | INFO: Logger set to DEBUG
2024/06/13 (07:04:41) | DEBUG: Using locale en_US.UTF-8
2024/06/13 (07:04:41) | INFO: Running on /dev/ttys002
2024/06/13 (07:04:41) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/06/13 (07:04:41) | DEBUG: M1 sensors found
2024/06/13 (07:04:41) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/06/13 (07:04:45) | DEBUG: Writing new config file
2024/06/13 (07:04:45) | INFO: Quitting! Runtime: 00:00:04

2024/06/18 (14:11:44) | ===> btop++ v.1.3.2
2024/06/18 (14:11:44) | INFO: Logger set to DEBUG
2024/06/18 (14:11:44) | DEBUG: Using locale en_US.UTF-8
2024/06/18 (14:11:44) | INFO: Running on /dev/ttys027
2024/06/18 (14:11:44) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/06/18 (14:11:44) | DEBUG: M1 sensors found
2024/06/18 (14:11:44) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/06/18 (14:12:05) | DEBUG: Writing new config file
2024/06/18 (14:12:05) | INFO: Quitting! Runtime: 00:00:21

2024/07/08 (15:56:25) | ===> btop++ v.1.3.2
2024/07/08 (15:56:25) | INFO: Logger set to DEBUG
2024/07/08 (15:56:25) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (15:56:25) | INFO: Running on /dev/ttys032
2024/07/08 (15:56:25) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/07/08 (15:56:25) | DEBUG: M1 sensors found
2024/07/08 (15:56:25) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/07/08 (15:56:31) | INFO: Quitting! Runtime: 00:00:06

2024/07/10 (09:30:47) | ===> btop++ v.1.3.2
2024/07/10 (09:30:47) | INFO: Logger set to DEBUG
2024/07/10 (09:30:47) | DEBUG: Using locale en_US.UTF-8
2024/07/10 (09:30:47) | INFO: Running on /dev/ttys023
2024/07/10 (09:30:47) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/07/10 (09:30:47) | DEBUG: M1 sensors found
2024/07/10 (09:30:47) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/07/10 (09:31:11) | INFO: Quitting! Runtime: 00:00:24

2024/07/10 (09:31:45) | ===> btop++ v.1.3.2
2024/07/10 (09:31:45) | INFO: Logger set to DEBUG
2024/07/10 (09:31:45) | DEBUG: Using locale en_US.UTF-8
2024/07/10 (09:31:45) | INFO: Running on /dev/ttys023
2024/07/10 (09:31:45) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/07/10 (09:31:45) | DEBUG: M1 sensors found
2024/07/10 (09:31:45) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/07/10 (09:31:52) | INFO: Quitting! Runtime: 00:00:07

2024/07/10 (09:33:58) | ===> btop++ v.1.3.2
2024/07/10 (09:33:58) | INFO: Logger set to DEBUG
2024/07/10 (09:33:58) | DEBUG: Using locale en_US.UTF-8
2024/07/10 (09:33:58) | INFO: Running on /dev/ttys023
2024/07/10 (09:33:58) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/07/10 (09:33:58) | DEBUG: M1 sensors found
2024/07/10 (09:33:58) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/07/10 (09:34:11) | INFO: Quitting! Runtime: 00:00:13

2024/07/12 (14:08:00) | ===> btop++ v.1.3.2
2024/07/12 (14:08:00) | INFO: Logger set to DEBUG
2024/07/12 (14:08:00) | DEBUG: Using locale en_US.UTF-8
2024/07/12 (14:08:00) | INFO: Running on /dev/ttys012
2024/07/12 (14:08:00) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/07/12 (14:08:00) | DEBUG: M1 sensors found
2024/07/12 (14:08:00) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/07/12 (14:08:55) | DEBUG: Writing new config file
2024/07/12 (14:08:55) | INFO: Quitting! Runtime: 00:00:55

2024/07/12 (14:15:35) | ===> btop++ v.1.3.2
2024/07/12 (14:15:35) | INFO: Logger set to DEBUG
2024/07/12 (14:15:35) | DEBUG: Using locale en_US.UTF-8
2024/07/12 (14:15:35) | INFO: Running on /dev/ttys012
2024/07/12 (14:15:35) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/07/12 (14:15:35) | DEBUG: M1 sensors found
2024/07/12 (14:15:35) | DEBUG: Loading theme file: /Users/aidan/.config/btop/themes/tokyo-night.theme
2024/07/12 (14:16:17) | DEBUG: Writing new config file
2024/07/12 (14:16:17) | INFO: Quitting! Runtime: 00:00:43
